Flybase_ID	Annotation_Symbol	Name	Symbol
FBgn0000289	CG8367	combgap	cg
FBgn0038273	CG14860	-	CG14860
FBgn0261588	CG42698	pou domain motif 3	pdm3
FBgn0004567	CG2939	sloppy paired 2	slp2
FBgn0036900	CG8765	-	CG8765
FBgn0004401	CG6143	Protein on ecdysone puffs	Pep
FBgn0037621	CG9797	Motif 1 Binding Protein	M1BP
FBgn0003512	CG17958	Serendipity delta	Sry-delta
FBgn0263108	CG43365	BTB-protein-VII	BtbVII
FBgn0011276	CG2655	Helix loop helix protein 3B	HLH3B
FBgn0036331	CR14117	-	CR14117
FBgn0030899	CG5927	HES-related	Hesr
FBgn0035643	CG13287	-	CG13287
FBgn0020887	CG8013	Su(z)12	Su(z)12
FBgn0040465	CG12767	Dorsal interacting protein 3	Dlip3
FBgn0037876	CG4820	-	CG4820
FBgn0001147	CG2692	gooseberry-neuro	gsb-n
FBgn0003567	CG8573	suppressor of Hairy wing	su(Hw)
FBgn0025360	CG18455	Optix	Optix
FBgn0030010	CG10959	-	CG10959
FBgn0039938	CG11153	Sox102F	Sox102F
FBgn0038316	CG6276	-	CG6276
FBgn0011277	CG3052	Helix loop helix protein 4C	HLH4C
FBgn0010287	CG7562	TBP-related factor	Trf
FBgn0025800	CG2262	Smad on X	Smox
FBgn0024321	CG8524	NK7.1	NK7.1
FBgn0038851	CG5737	doublesex-Mab related 93B	dmrt93B
FBgn0038418	CG10309	poils au dos	pad
FBgn0004895	CG1132	Forkhead box L1	FoxL1
FBgn0032512	CG9305	B double prime 1	Bdp1
FBgn0036274	CG4328	-	CG4328
FBgn0030680	CG8944	-	CG8944
FBgn0034096	CG7786	-	CG7786
FBgn0000964	CG10034	traffic jam	tj
FBgn0266441	CG45071	-	CG45071
FBgn0014143	CG5069	crocodile	croc
FBgn0030316	CG11695	-	CG11695
FBgn0038766	CG4854	-	CG4854
FBgn0262732	CG4143	multiprotein bridging factor 1	mbf1
FBgn0035024	CG11414	-	CG11414
FBgn0030206	CG2889	-	CG2889
FBgn0033015	CG2682	d4	d4
FBgn0031894	CG4496	-	CG4496
FBgn0003044	CG5109	Polycomblike	Pcl
FBgn0035414	CG14965	-	CG14965
FBgn0000576	CG2988	empty spiracles	ems
FBgn0000286	CG11924	Chorion factor 2	Cf2
FBgn0028550	CG11405	Activating transcription factor 3	Atf3
FBgn0005677	CG4952	dachshund	dac
FBgn0011701	CG31240	reversed polarity	repo
FBgn0085432	CG34403	pangolin	 pan 
FBgn0003683	CG4216	terminus	term
FBgn0285879	CG32577	disco-related	disco-r
FBgn0001325	CG3340	Kruppel	Kr
FBgn0030659	CG9215	-	CG9215
FBgn0014949	CG5264	buttonless	btn
FBgn0039201	CG13617	-	DZIP1
FBgn0039078	CG4374	-	CG4374
FBgn0020378	CG1343	Sp1	Sp1
FBgn0036285	CG10704	twin of eyg	toe
FBgn0013469	CG12296	klumpfuss	klu
FBgn0037722	CG8319	-	CG8319
FBgn0037445	CG9727	-	CG9727
FBgn0025185	CG1605	az2	az2
FBgn0263072	CG43347	-	CG43347
FBgn0032817	CG10631	-	CG10631
FBgn0267792	CG8643	regular	rgr
FBgn0015381	CG9019	dissatisfaction	dsf
FBgn0021872	CG9415	X box binding protein-1	Xbp1
FBgn0003513	CG6993	spineless	ss
FBgn0262636	CG2052	datilografo	dati
FBgn0023518	CG3848	trithorax-related	trr
FBgn0004170	CG3827	scute	sc
FBgn0032388	CG6686	-	CG6686
FBgn0002023	CG10699	Lim3	Lim3
FBgn0000251	CG1759	caudal	cad
FBgn0085424	CG34395	nubbin	nub
FBgn0033748	CG8821	vismay	vis
FBgn0028647	CG11902	-	CG11902
FBgn0050011	CG30011	gemini	gem
FBgn0051460	CG31460	-	CG31460
FBgn0262937	CG9139	Rabaptin-5-associated exchange factor for Rab5	Rabex-5
FBgn0035903	CG6765	-	CG6765
FBgn0261705	CG42741	-	CG42741
FBgn0035902	CG6683	-	CG6683
FBgn0030477	CG15749	doublesex-Mab related 11E	dmrt11E
FBgn0035993	CG3891	Nuclear factor Y-box A	Nf-YA
FBgn0000233	CG12653	buttonhead	btd
FBgn0261113	CG17836	Xrp1	Xrp1
FBgn0031597	CG17612	-	CG17612
FBgn0000529	CG10604	brain-specific homeobox	bsh
FBgn0015919	CG10605	caupolican	caup
FBgn0035036	CG4707	-	CG4707
FBgn0267033	CG45477	maternal gene required for meiosis	mamo
FBgn0011766	CG6376	E2F transcription factor 1	E2f1
FBgn0023091	CG8667	dimmed	dimm
FBgn0029711	CG17592	Usf	Usf
FBgn0004101	CG3411	blistered	bs
FBgn0005386	CG8887	absent, small, or homeotic discs 1	ash1
FBgn0028979	CG12630	tiptop	tio
FBgn0029939	CG9650	-	CG9650
FBgn0040305	CG3743	Metal response element-binding Transcription Factor-1	MTF-1
FBgn0002633	CG8361	Enhancer of split m7, helix-loop-helix	E(spl)m7-HLH
FBgn0023215	CG13316	Mnt	Mnt
FBgn0036126	CG6272	Inverted repeat binding protein 18 kDa	Irbp18
FBgn0011723	CG7260	brachyenteron	byn
FBgn0004054	CG1048	zerknullt-related	zen2
FBgn0038472	CG3995	-	CG3995
FBgn0039602	CG1647	-	CG1647
FBgn0266450	CG45074	Kruppel homolog 1	Kr-h1
FBgn0043364	CG4427	cabut	cbt
FBgn0026575	CG32575	hangover	hang
FBgn0027951	CG2244	Metastasis associated 1-like	MTA1-like
FBgn0033252	CG12769	-	CG12769
FBgn0003300	CG1849	runt	run
FBgn0024251	CG1414	bobby sox	bbx
FBgn0037746	CG8478	-	CG8478
FBgn0022935	CG10269	D19A	D19A
FBgn0037446	CG10267	Zinc-finger protein	Zif
FBgn0001978	CG3647	shuttle craft	stc
FBgn0263102	CG2368	pipsqueak	psq
FBgn0032730	CG10431	-	CG10431
FBgn0003896	CG10619	tailup	tup
FBgn0013755	CG7960	Brother	Bro
FBgn0003267	CG6348	rough	ro
FBgn0015664	CG5838	DNA replication-related element factor	Dref
FBgn0261239	CG8676	Hormone receptor-like in 39	Hr39
FBgn0267821	CG5102	daughterless	da
FBgn0000179	CG3578	bifid	bi
FBgn0004666	CG7771	single-minded	sim
FBgn0034821	CG9876	-	CG9876
FBgn0265276	CG6930	lethal (3) neo38	l(3)neo38
FBgn0037921	CG6808	ZAD and Architectural Function 1	Zaf1
FBgn0050077	CG30077	Biogenesis of lysosome-related organelles complex 1, subunit 1	Blos1
FBgn0034570	CG10543	-	CG10543
FBgn0003145	CG6716	paired	prd
FBgn0010825	CG6964	Grunge	Gug
FBgn0031086	CG9571	forkhead domain 19B	fd19B
FBgn0015721	CG9398	king tubby	ktub
FBgn0032741	CG10446	similar to Deadpan	Sidpn
FBgn0003053	CG12212	pebbled	peb
FBgn0034379	CG15073	-	CG15073
FBgn0039712	CG15514	-	CG15514
FBgn0010278	CG4817	Structure specific recognition protein	Ssrp
FBgn0038390	CG5083	Retinoblastoma-family protein 2	Rbf2
FBgn0021738	CG32788	Circadianly Regulated Gene	Crg-1
FBgn0034520	CG13424	lateral muscles scarcer	lms
FBgn0038551	CG7357	Oddjob	Odj
FBgn0033155	CG1845	Bromodomain-containing protein, 140kD	Br140
FBgn0037922	CG14711	-	CG14711
FBgn0004892	CG3242	sister of odd and bowl	sob
FBgn0024288	CG15552	Sox100B	Sox100B
FBgn0039937	CG11152	forkhead domain 102C	fd102C
FBgn0028387	CG5229	chameau	chm
FBgn0004396	CG7450	Cyclic-AMP response element binding protein A	CrebA
FBgn0266916	CG31258	Centromeric protein-C	Cenp-C
FBgn0004606	CG1322	Zn finger homeodomain 1	zfh1
FBgn0028931	CG16863	-	CG16863
FBgn0004898	CG11922	forkhead domain 96Cb	fd96Cb
FBgn0260632	CG6667	dorsal	dl
FBgn0027364	CG3871	Six4	Six4
FBgn0000061	CG3935	aristaless	al
FBgn0038548	CG17806	-	CG17806
FBgn0029123	CG18024	SoxNeuro	SoxN
FBgn0036179	CG7368	-	CG7368
FBgn0015025	CG6215	CKII-alpha subunit interactor-1	CkIIalpha-i1
FBgn0040765	CG33473	luna	luna
FBgn0008646	CG9930	E5	E5
FBgn0033449	CG1663	-	CG1663
FBgn0001148	CG3388	gooseberry	gsb
FBgn0270924	CG3998	zinc finger protein 30C	zf30C
FBgn0052264	CG32264	-	CG32264
FBgn0033358	CG8216	space blanket	spab
FBgn0015299	CG8396	Single stranded-binding protein c31A	Ssb-c31a
FBgn0050443	CG30443	Optix-binding protein	Opbp
FBgn0004618	CG7672	glass	gl
FBgn0265784	CG6103	Cyclic-AMP response element binding protein B	CrebB
FBgn0050020	CG30020	-	CG30020
FBgn0264744	CG44002	-	CG44002
FBgn0003129	CG9610	Pox meso	Poxm
FBgn0052831	CG33695	-	CG33695
FBgn0052105	CG32105	LIM homeobox transcription factor 1 alpha	Lmx1a
FBgn0031375	CG31670	earmuff	erm
FBgn0035687	CG13296	PR/SET domain 13	Prdm13
